age_days,n_authors,n_edits,n_sections,name
5654.773079073137,153,290,1,"Vaccinium
"
4265.90865637073,2,2,0,"Vervain
"
5387.711369393067,148,224,0,"Viburnum
"
4679.665368489317,173,257,3,"Vinca
"
4198.808741089375,49,67,0,"Viscum
"
4520.985383636204,60,82,1,"Weigela
"
3732.9804278485876,29,38,1,"Xanthoceras
"
4248.517704907917,50,68,0,"Xanthorhiza
"
5016.783864783171,45,82,0,"Xylosma
"
5567.514189156551,377,753,4,"Yucca
"
4623.141196792315,96,174,2,"Zanthoxylum
"
2602.358637955324,1,1,0,"Zauschneria
"
2602.361151406644,8,9,0,"Zenobia (plant)
"
4999.556804328136,96,165,1,"Ziziphus
"
